team_id,team_name,team_abbrev,team_avg_entropy,team_pa_weighted_entropy,team_aggregate_entropy,qualified_players,team_PA
109,Arizona Diamondbacks,,2.3334682122436536,2.3360636007400464,2.3381721539310343,4,6245
121,New York Mets,,2.3148440590281094,2.3165493291647783,2.3273822228959453,4,6179
118,Kansas City Royals,,2.305958456858547,2.3082076844009425,2.3101469690588026,6,6008
141,Toronto Blue Jays,,2.2920514569145163,2.293647489345051,2.350347365214117,6,6261
114,Cleveland Guardians,,2.286794206283419,2.288266421445303,2.295521512698589,3,5980
158,Milwaukee Brewers,,2.280948518752142,2.2743106194555347,2.3245892282392866,7,6306
117,Houston Astros,,2.2762009309095044,2.2775396606221743,2.3026193463997497,5,6088
135,San Diego Padres,,2.2749433947743927,2.2712592837163177,2.3275026240894925,7,6091
146,Miami Marlins,,2.274785743257829,2.2750770197977483,2.3067337322640067,4,6144
139,Tampa Bay Rays,,2.270371649858104,2.274806397615602,2.282556780726707,3,6046
145,Chicago White Sox,,2.2703045201322207,2.270215340964635,2.2889310849992146,3,5987
119,Los Angeles Dodgers,,2.2664056818039375,2.268006841158557,2.2956964793327153,5,6262
136,Seattle Mariners,,2.26568499034351,2.26550086101953,2.291036832234587,7,6274
138,St. Louis Cardinals,,2.2538903178365417,2.253392365237925,2.3092930612995284,5,6071
147,New York Yankees,,2.25017657023582,2.2528774475302122,2.3142743855916796,8,6311
112,Chicago Cubs,,2.248976879069572,2.249148394583892,2.2992835577404422,7,6233
108,Los Angeles Angels,,2.248748927161411,2.2499262570303977,2.258774549692915,6,6000
137,San Francisco Giants,,2.2465739697247207,2.243682537169897,2.2996918732899454,5,6074
111,Boston Red Sox,,2.2385292263896512,2.2378358748885305,2.28780875148044,4,6240
143,Philadelphia Phillies,,2.2375034789998667,2.236887743633761,2.2900143918730516,8,6240
142,Minnesota Twins,,2.236507927218142,2.2368415608778367,2.290725739510199,3,6103
144,Atlanta Braves,,2.236081835168239,2.2358750678755106,2.2616628497509987,4,6223
140,Texas Rangers,,2.2358873534495687,2.236876847915772,2.2952426857296127,5,6046
116,Detroit Tigers,,2.234984658908068,2.2306821730189608,2.270916662107689,4,6173
133,Athletics,,2.228781455285252,2.228312961170504,2.2737212378979543,5,6151
110,Baltimore Orioles,,2.223067877950756,2.223202536197867,2.2661505195060627,2,6020
113,Cincinnati Reds,,2.2211925765797385,2.227223636035557,2.2798386654028557,6,6198
120,Washington Nationals,,2.2065210684654906,2.1983321297314404,2.2591355340742076,4,5983
115,Colorado Rockies,,2.2065115834804185,2.2056783128553388,2.241228178402542,3,5908
134,Pittsburgh Pirates,,2.1927029276877033,2.1910963900379246,2.26124014445589,3,6010
